year,month,day,hour,use,temp,humid
2017,1,15,16,81.82341959799989,1.5,35.0
2017,1,15,17,74.17283174013116,0.8,42.0
2017,1,15,18,70.87596134493347,-0.7,51.0
2017,1,15,19,71.24989116060165,-1.2,59.0
2017,1,15,20,70.67249326348639,-1.6,65.0
2017,1,15,21,69.92144698762334,-1.8,65.0
2017,1,15,22,69.57257734215337,-2.1,63.0
2017,1,15,23,69.30546804833367,-2.5,63.0
2017,1,15,24,69.37983450103707,-3.3,72.0
2017,1,16,1,69.2458695115131,-3.1,71.0
2017,1,16,2,69.26850518093624,-3.2,70.0
2017,1,16,3,69.21102518283396,-4.1,81.0
2017,1,16,4,69.17119599219674,-4.0,81.0
2017,1,16,5,69.21184918173064,-4.1,82.0
2017,1,16,6,69.09752209620677,-4.3,80.0
2017,1,16,7,68.83661930346005,-4.2,83.0
2017,1,16,8,68.7505136278694,-4.8,84.0
2017,1,16,9,70.15713386775305,-2.6,68.0
2017,1,16,10,76.60968918499499,-0.6,54.0
2017,1,16,11,84.07510593423635,0.7,40.0
2017,1,16,12,90.96945499772555,2.5,27.0
2017,1,16,13,100.82447848834259,3.6,28.0
2017,1,16,14,98.1001194338005,4.1,21.0
2017,1,16,15,90.4962940655964,4.6,14.0
2017,1,16,16,80.69117110869956,4.8,16.0
2017,1,16,17,84.35880676616196,3.7,20.0
2017,1,16,18,134.0941209757057,1.8,24.0
2017,1,16,19,135.46157254953687,0.5,29.0
2017,1,16,20,135.05030542193242,-0.2,38.0
2017,1,16,21,133.726353478864,-1.0,46.0
2017,1,16,22,132.88940476574408,-1.6,46.0
2017,1,16,23,132.82839350159261,-1.8,48.0
2017,1,16,24,132.85967784576238,-2.0,48.0
2017,1,17,1,132.98208255049724,-3.0,54.0
2017,1,17,2,132.9809249756397,-3.3,55.0
2017,1,17,3,133.00596526382702,-3.5,60.0
2017,1,17,4,133.19617977588902,-4.0,65.0
2017,1,17,5,133.2325086280496,-3.9,65.0
2017,1,17,6,133.53883297928056,-3.7,65.0
2017,1,17,7,133.71132930595164,-3.9,59.0
2017,1,17,8,133.91316706250396,-3.8,62.0
2017,1,17,9,136.6340810063775,-2.8,58.0
2017,1,17,10,147.09840639428631,-2.1,54.0
2017,1,17,11,151.57126018000957,-0.1,46.0
2017,1,17,12,157.41962106765178,2.1,40.0
2017,1,17,13,153.10399532877545,2.7,34.0
2017,1,17,14,146.54058565058227,3.5,31.0
2017,1,17,15,148.28602517941997,4.7,27.0
2017,1,17,16,143.05844915492727,5.4,25.0
2017,1,17,17,136.4505280725271,5.1,25.0
2017,1,17,18,133.94603644476587,4.2,29.0
2017,1,17,19,133.74325650180756,2.5,46.0
2017,1,17,20,132.8587091500085,1.4,55.0
2017,1,17,21,131.63303177776498,1.2,52.0
2017,1,17,22,131.774234923817,0.8,54.0
2017,1,17,23,132.1972733064374,0.1,61.0
2017,1,17,24,132.82485560820646,0.0,60.0
2017,1,18,1,133.1766843596338,-0.8,62.0
2017,1,18,2,133.4350510914331,-1.3,66.0
2017,1,18,3,133.69655918095646,-1.7,64.0
2017,1,18,4,133.8526296529459,-1.1,61.0
2017,1,18,5,134.03477648680237,-0.8,58.0
2017,1,18,6,134.12468956748265,-1.6,66.0
2017,1,18,7,134.2584314366619,-0.7,65.0
2017,1,18,8,134.6745795979452,-0.6,66.0
2017,1,18,9,139.25029296712083,1.2,60.0
2017,1,18,10,152.04244174749684,2.5,57.0
2017,1,18,11,164.43737666831456,4.5,53.0
2017,1,18,12,171.30282943805574,5.8,44.0
2017,1,18,13,173.15942376712067,7.0,39.0
2017,1,18,14,171.4416500564668,7.6,36.0
2017,1,18,15,165.89259737931602,7.3,36.0
2017,1,18,16,155.50187519580282,6.4,40.0
2017,1,18,17,140.76991592969037,5.4,44.0
2017,1,18,18,133.87697517530745,4.2,48.0
2017,1,18,19,133.9969244516947,3.8,51.0
2017,1,18,20,134.313547684578,3.1,55.0
2017,1,18,21,133.49532340751233,2.1,61.0
2017,1,18,22,120.92980193762722,1.7,62.0
2017,1,18,23,69.79398120655523,1.4,63.0
2017,1,18,24,69.07915664090505,0.9,67.0
2017,1,19,1,68.89392478168878,0.7,71.0
2017,1,19,2,68.890266491681,0.0,78.0
2017,1,19,3,68.80472966251364,-0.4,81.0
2017,1,19,4,68.63968467170984,-0.2,85.0
2017,1,19,5,68.46864856828462,-0.8,87.0
2017,1,19,6,68.47795776761602,-1.0,88.0
2017,1,19,7,68.63575245177395,-0.9,88.0
2017,1,19,8,68.99499608871525,-1.1,88.0
2017,1,19,9,72.7675292357485,-0.3,86.0
2017,1,19,10,82.9773604657612,1.4,75.0
2017,1,19,11,92.93713785364805,3.2,57.0
2017,1,19,12,99.83366068366362,4.6,49.0
2017,1,19,13,102.72800761783341,5.4,42.0
2017,1,19,14,102.00729687239716,6.9,40.0
2017,1,19,15,96.09211144152414,8.0,34.0
2017,1,19,16,85.70521323144297,7.6,30.0
2017,1,19,17,70.88769173137146,6.7,32.0
2017,1,19,18,69.28514752862561,4.6,49.0
2017,1,19,19,70.7075353077185,2.1,57.0
2017,1,19,20,70.63620307079148,1.8,60.0
2017,1,19,21,87.84392887712221,1.6,68.0
2017,1,19,22,130.4212729177159,1.2,73.0
2017,1,19,23,130.7296848800926,0.6,77.0
2017,1,19,24,130.66663460526655,0.5,75.0
2017,1,20,1,131.1550903265677,0.9,76.0
2017,1,20,2,132.9138684756149,0.7,88.0
2017,1,20,3,133.47995792674598,0.1,98.0
2017,1,20,4,133.85773712063792,0.5,97.0
2017,1,20,5,134.18761392290628,0.3,96.0
2017,1,20,6,134.50263223568655,1.0,97.0
2017,1,20,7,134.36975965220657,1.1,83.0
2017,1,20,8,134.84306638574907,0.1,84.0
2017,1,20,9,139.37946528745886,-0.3,85.0
2017,1,20,10,152.16853787892433,-1.2,95.0
2017,1,20,11,163.36133572841817,0.7,69.0
2017,1,20,12,170.2068335865408,-0.7,78.0
2017,1,20,13,172.10405459579178,0.1,75.0
2017,1,20,14,170.40884144474202,-0.4,76.0
2017,1,20,15,165.08786304665404,0.2,69.0
2017,1,20,16,155.07748373188426,-0.6,77.0
2017,1,20,17,141.53350996355113,-0.4,68.0
2017,1,20,18,135.59309757449947,-0.7,67.0
2017,1,20,19,135.70773614486095,-0.7,65.0
2017,1,20,20,135.5249221590828,-1.1,72.0
2017,1,20,21,134.0110207974312,-1.0,61.0
2017,1,20,22,132.94136640126214,-1.5,60.0
2017,1,20,23,132.65057431877796,-1.0,59.0
2017,1,20,24,132.5728555381236,-1.1,62.0
2017,1,21,1,132.67585981843317,-2.1,68.0
2017,1,21,2,132.9131118546441,-2.8,73.0
2017,1,21,3,132.7880031964252,-3.3,75.0
2017,1,21,4,132.98914287348327,-2.7,73.0
2017,1,21,5,132.8245220322456,-2.7,74.0
2017,1,21,6,132.8330978062856,-2.4,76.0
2017,1,21,7,132.8780466147326,-2.7,78.0
2017,1,21,8,133.21211078941022,-3.2,80.0
2017,1,21,9,137.6305839616211,-1.8,70.0
2017,1,21,10,150.33111754027155,-0.7,64.0
2017,1,21,11,159.84699147964216,-0.1,59.0
2017,1,21,12,166.88083604535728,1.2,58.0
2017,1,21,13,166.238080455594,1.4,60.0
2017,1,21,14,161.66320433998902,1.1,61.0
2017,1,21,15,157.34648067228792,1.2,71.0
2017,1,21,16,145.20269420875235,1.7,77.0
2017,1,21,17,136.05472914941208,1.4,77.0
2017,1,21,18,131.0885573861636,0.7,87.0
2017,1,21,19,131.14970340616676,-0.1,92.0
2017,1,21,20,132.8842255019015,0.0,95.0
2017,1,21,21,132.45764922589495,0.2,95.0
2017,1,21,22,132.04751426835634,0.2,97.0
2017,1,21,23,131.78207506345322,-0.2,98.0
2017,1,21,24,120.05657407737397,0.2,98.0
2017,1,22,1,69.41284526648768,0.0,99.0
2017,1,22,2,68.88775141730065,-0.6,98.0
2017,1,22,3,68.8619732855973,0.1,84.0
2017,1,22,4,68.74387745444947,0.0,83.0
2017,1,22,5,68.64800860694494,-1.0,87.0
2017,1,22,6,68.46938199357604,-1.0,78.0
2017,1,22,7,68.46170311913943,-1.7,78.0
2017,1,22,8,88.10134900429087,-2.6,88.0
2017,1,22,9,132.87485997020588,-2.5,89.0
2017,1,22,10,135.81962878860426,-1.1,72.0
2017,1,22,11,139.30833297519712,-0.6,65.0
2017,1,22,12,145.7847467055333,0.5,62.0
2017,1,22,13,149.7209242661572,-0.4,76.0
2017,1,22,14,141.92404236288687,-0.1,64.0
2017,1,22,15,132.05214235867416,-0.4,67.0
2017,1,22,16,76.42107186114289,-1.4,84.0
2017,1,22,17,69.91435352795246,-1.7,85.0
2017,1,22,18,69.34353326278054,-2.4,86.0
2017,1,22,19,69.19205001253094,-2.7,90.0
2017,1,22,20,68.34287607181251,-2.8,86.0
2017,1,22,21,67.59064571174403,-3.0,84.0
2017,1,22,22,67.4465828697892,-3.5,90.0
2017,1,22,23,67.1055323773884,-3.9,94.0
2017,1,22,24,66.7277807974005,-4.7,95.0
2017,1,23,1,66.63032470269148,-5.1,92.0
2017,1,23,2,66.75663290890205,-5.4,93.0
2017,1,23,3,66.61395849404256,-5.6,92.0
2017,1,23,4,66.75471871307371,-5.8,88.0
2017,1,23,5,66.73690884952134,-6.2,80.0
2017,1,23,6,66.5586677262529,-6.7,81.0
2017,1,23,7,66.50066969131076,-7.1,81.0
2017,1,23,8,66.74547136888738,-6.7,78.0
2017,1,23,9,69.43382078799966,-5.7,74.0
2017,1,23,10,73.72966503057484,-4.4,68.0
2017,1,23,11,74.78230042540336,-3.4,66.0
2017,1,23,12,76.55879565528535,-2.0,65.0
2017,1,23,13,76.10585693736586,-1.2,58.0
2017,1,23,14,79.15575520212906,-1.0,55.0
2017,1,23,15,78.30727934090486,-0.2,53.0
2017,1,23,16,72.74460196349867,-0.6,50.0
2017,1,23,17,69.50312064158902,-1.6,57.0
2017,1,23,18,68.17892790527736,-2.2,61.0
2017,1,23,19,67.76828374734815,-2.6,63.0
2017,1,23,20,67.13997243851234,-2.7,63.0
